id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
38,KB-PR-38,BX80684I79700KF,Kabum,"Processador Intel Core i7-9700KF Coffee Lake Refresh, Cache 12MB, 3.6GHz (4.9GHz Max Turbo), LGA 1151, Sem Vídeo - BX80684I79700KF",Intel,Core i7-9700KF Coffee Lake Refresh,12MB,3.6GHz (4.9GHz Max Turbo),LGA 1151
39,KB-PR-39,BX8070110700,Kabum,"Processador Intel Core i7-10700, Cache 16MB, 2.9GHz (4.8GHz Max Turbo), LGA 1200 - BX8070110700",Intel,Core i7-10700,16MB,2.9GHz (4.8GHz Max Turbo),LGA 1200
40,KB-PR-40,BX8070110700KA,Kabum,"Processador Intel Core i7-10700K Marvel´s Avengers Collector´s Edition Packaging, Cache 16MB, 5.1GHz, LGA1200 - BX8070110700KA",Intel,Core i7-10700K Marvel´s Avengers Collector´s Edition Packaging,16MB,5.1GHz,LGA1200
41,KB-PR-41,BX80684I59400F,Kabum,"Processador Intel Core i5-9400F Coffee Lake, Cache 9MB, 2.9GHz (4.1GHz Max Turbo), LGA 1151, Sem Vídeo - BX80684I59400F",Intel,Core i5-9400F Coffee Lake,9MB,2.9GHz (4.1GHz Max Turbo),LGA 1151
42,KB-PR-42,BX8070110900K,Kabum,"Processador Intel Core i9-10900K, Cache 20MB, 3.7GHz (5.3GHz Max Turbo), LGA 1200 - BX8070110900K",Intel,Core i9-10900K,20MB,3.7GHz (5.3GHz Max Turbo),LGA 1200
43,KB-PR-43,BX8070110600K,Kabum,"Processador Intel Core i5-10600K, Cache 12MB, 4.1GHz (4.8GHz Max Turbo), LGA 1200 - BX8070110600K",Intel,Core i5-10600K,12MB,4.1GHz (4.8GHz Max Turbo),LGA 1200
44,KB-PR-44,BX80701G5920,Kabum,"Processador Intel Celeron G-5920, Cache 2MB, 3.5GHz, LGA 1200 - BX80701G5920",Intel,Celeron G-5920,2MB,3.5GHz,LGA 1200
45,KB-PR-45,BX80684G5400,Kabum,"Processador Intel Pentium G5400 Coffee Lake, 8a Geração, Cache 4MB, 3.7Ghz, LGA 1151 - BX80684G5400",Intel,Pentium G5400 Coffee Lake,4MB,3.7Ghz,LGA 1151
46,KB-PR-46,BX80677I37100,Kabum,"Processador Intel Core i3-7100 Kaby Lake, Cache 3MB, 3.9GHz, LGA 1151 - BX80677I37100",Intel,Core i3-7100 Kaby Lake,3MB,3.9GHz,LGA 1151
47,KB-PR-47,BX8070110100,Kabum,"Processador Intel Core i3-10100, Cache 6MB, 3.6GHz (4.3GHz Max Turbo), LGA 1200 - BX8070110100",Intel,Core i3-10100,6MB,3.6GHz (4.3GHz Max Turbo),LGA 1200
