id,code,sku,site,descricao,marca,potencia
70,KB-FT-70,220-B5-0750-V,Kabum,"Fonte EVGA 750 B5, 750W, 80 Plus Bronze, Modular - 220-B5-0750-V",Evga,750W
71,KB-FT-71,100-GD-0500-V,Kabum,"Fonte EVGA 500 GD, 500W, 80 Plus Gold - 100-GD-0500-V",Evga,500W
72,KB-FT-72,220-G5-0850-X,Kabum,"Fonte EVGA SuperNOVA 850 G5, 850W, 80 Plus Gold, Modular - 220-G5-0850-X",Evga,850W
73,KB-FT-73,100-W1-0500-KR,Kabum,Fonte EVGA 500W 80 Plus White - 100-W1-0500-KR,Evga,500W
74,KB-FT-74,210-GQ-1000-V,Kabum,Fonte EVGA 1000W 80 Plus Gold Semi Modular Modo ECO 210-GQ-1000-V,Evga,1000W
75,KB-FT-75,100-W1-0700-K,Kabum,"Fonte EVGA 700W, 80 Plus White - 100-W1-0700-K",Evga,700W
76,KB-FT-76,100-W1-0600-K,Kabum,Fonte EVGA 600W 80 Plus White - 100-W1-0600-K,Evga,600W
77,KB-FT-77,110-BQ-0500-K,Kabum,"Fonte EVGA 500 BQ, 500W, 80 Plus Bronze, Semi Modular - 110-BQ-0500-K",Evga,500W
78,KB-FT-78,100-BR-0450-K,Kabum,"Fonte EVGA 450W, 80 Plus Bronze - 100-BR-0450-K",Evga,450W
79,KB-FT-79,100-N1-0650-L,Kabum,Fonte EVGA 650W 100-N1-0650-L,Evga,650W
80,KB-FT-80,GP-P750GM,Kabum,"Fonte Gigabyte GP-P750GM, 750W, 80 Plus Gold, Totalmente Modular - GP-P750GM",Gigabyte,750W
81,KB-FT-81,28200-P550B-1BRR,Kabum,"Fonte Gigabyte GP-P550B 550W, 80 Plus Bronze - 28200-P550B-1BRR",Gigabyte,550W
82,KB-FT-82,FNT-500W,Kabum,Fonte Hoopson 500W - FNT-500W,Hoopson,500W
83,KB-FT-83,GA350,Kabum,Fonte Multilaser ATX 350W GA350,Multilaser,350W
84,KB-FT-84,NXURSX500,Kabum,Fonte NOX 500W Urano NXURSX500,NOX,500W
85,KB-FT-85,NP-C750M-WO,Kabum,"Fonte NZXT C750, 750W, 80 Plus Gold, Modular - NP-C750M-WO",NZXT,750W
86,KB-FT-86,NP-C650M-WO,Kabum,"Fonte NZXT C650, 650W, 80 Plus Gold, Modular - NP-C650M-WO",NZXT,650W
87,KB-FT-87,PX230,Kabum,Fonte PowerX 230W Com Cabo de Energia - PX230,PowerX,230W
88,KB-FT-88,PX500,Kabum,Fonte PowerX 500W Com Cabo - PX500,PowerX,500W
89,KB-FT-89,SSR-500RA,Kabum,"Fonte Seasonic, 500W, 80 Plus, 220V - A12 SSR-500RA",Seasonic,500W
90,KB-FT-90,S12III-550,Kabum,"Fonte Seasonic, 550W, 80 Plus Bronze - S12III-550",Seasonic,550W
91,KB-FT-91,SSR-600RA,Kabum,"Fonte Seasonic, 600W, 80 Plus, 220V - A12 SSR-600RA",Seasonic,600W
