,code,cartao,boleto,data
451,KB-GP-227,1058.71,899.9,2020-11-19
452,KB-GP-228,6364.59,5409.9,2020-11-19
453,KB-GP-229,6870.47,5839.9,2020-11-19
454,KB-GP-230,1578.84,1499.9,2020-11-19
455,KB-GP-231,5752.82,4889.9,2020-11-19
456,KB-GP-232,950.47,807.9,2020-11-19
457,KB-GP-233,15882.24,13499.9,2020-11-19
458,KB-GP-234,15764.59,13399.9,2020-11-19
459,KB-GP-235,688.12,584.9,2020-11-19
460,KB-GP-236,1646.94,1399.9,2020-11-19
461,KB-GP-237,7058.71,5999.9,2020-11-19
462,KB-GP-238,5010.42,4759.9,2020-11-19
463,KB-GP-239,3529.29,2999.9,2020-11-19
464,KB-GP-240,862.89,733.46,2020-11-19
465,KB-GP-241,2479.88,2107.9,2020-11-19
466,KB-GP-242,4117.53,3499.9,2020-11-19
467,KB-GP-243,8823.41,7499.9,2020-11-19
468,KB-GP-244,7764.59,6599.9,2020-11-19
469,KB-GP-245,3205.76,2724.9,2020-11-19
470,KB-GP-246,463.89,394.31,2020-11-19
471,KB-GP-247,445.76,378.9,2020-11-19
472,KB-GP-248,2082.24,1769.9,2020-11-19
473,KB-GP-249,9411.65,7999.9,2020-11-19
474,KB-GP-250,823.41,699.9,2020-11-19
475,KB-GP-251,4888.12,4154.9,2020-11-19
476,KB-GP-252,705.76,599.9,2020-11-19
477,KB-GP-253,541.06,459.9,2020-11-19
478,KB-GP-254,352.82,299.9,2020-11-19
479,KB-GP-255,3764.59,3199.9,2020-11-19
480,KB-GP-256,4588.12,3899.9,2020-11-19
481,KB-GP-257,7395.18,6285.9,2020-11-19
482,KB-GP-258,999.88,849.9,2020-11-19
483,KB-GP-259,9411.65,7999.9,2020-11-19
484,KB-GP-260,1208.12,1026.9,2020-11-19
485,KB-GP-261,1105.76,939.9,2020-11-19
486,KB-GP-262,1882.24,1599.9,2020-11-19
487,KB-GP-263,6658.71,5659.9,2020-11-19
488,KB-GP-264,941.06,799.9,2020-11-19
489,KB-GP-265,874.89,743.66,2020-11-19
490,KB-GP-266,1029.29,874.9,2020-11-19
491,KB-GP-267,3735.18,3174.9,2020-11-19
492,KB-GP-268,1176.35,999.9,2020-11-19
493,KB-GP-269,10058.71,8549.9,2020-11-19
494,KB-GP-270,2352.82,1999.9,2020-11-19
495,KB-GP-271,1117.53,949.9,2020-11-19
496,KB-GP-272,9176.35,7799.9,2020-11-19
497,KB-GP-273,19352.82,16449.9,2020-11-19
498,KB-GP-274,5882.24,4999.9,2020-11-19
499,KB-GP-275,1941.06,1649.9,2020-11-19
500,KB-GP-276,2352.82,1999.9,2020-11-19
501,KB-GP-277,5882.24,4999.9,2020-11-19
502,KB-GP-278,4164.59,3539.9,2020-11-19
503,KB-GP-279,3405.76,2894.9,2020-11-19
504,KB-GP-280,2199.88,1869.9,2020-11-19
505,KB-GP-281,3999.88,3399.9,2020-11-19
506,KB-GP-282,2117.53,1799.9,2020-11-19
507,KB-GP-283,970.47,824.9,2020-11-19
508,KB-GP-284,10588.12,8999.9,2020-11-19
